metro_fips,metro,metro_ascii,metro_full,county_name,county_fips,state_id,state_name,lat_x,lng_x,population,met,lat_y,lng_y
34980,Nashville,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",Rutherford,47149,TN,Tennessee,36.0891,-86.7245,2151715,Nashville,,
41940,San Jose,San Jose,"San Jose-Sunnyvale-Santa Clara, CA",San Benito,6069,CA,California,36.9095,-121.3759,1995484,San Jose,,
47260,Virginia Beach,Virginia Beach,"Virginia Beach-Chesapeake-Norfolk, VA-NC",Suffolk,51800,VA,Virginia,36.8251,-76.4746,1796689,Virginia Beach,,
27260,"Jacksonville, FL","Jacksonville, FL","Jacksonville, FL",Duval,12031,FL,Florida,30.2366,-81.7923,1760548,"Jacksonville, FL",,
39300,Providence,Providence,"Providence-Warwick, RI-MA",Bristol,25005,RI,Rhode Island,41.7186,-71.4001,1700901,Providence,,
33340,Milwaukee,Milwaukee,"Milwaukee-Waukesha, WI",Waukesha,55133,WI,Wisconsin,43.1767,-88.1725,1574452,Milwaukee,,
39580,Raleigh,Raleigh,"Raleigh-Cary, NC",Wake,37183,NC,North Carolina,35.7573,-78.4608,1562009,Raleigh,,
36420,"Oklahoma City, OK","Oklahoma City, OK","Oklahoma City, OK",Grady,40051,OK,Oklahoma,35.4299,-97.5039,1497821,"Oklahoma City, OK",,
31140,"Louisville/Jefferson County, KY","Louisville/Jefferson County, KY","Louisville/Jefferson County, KY-IN",Washington,18175,KY,Kentucky,38.2244,-85.7024,1396762,"Louisville/Jefferson County, KY",,
40060,"Richmond, VA","Richmond, VA","Richmond, VA",Dinwiddie,51053,VA,Virginia,37.4127,-77.4467,1368219,"Richmond, VA",,
32820,"Memphis, TN","Memphis, TN","Memphis, TN-MS-AR",Shelby,47157,TN,Tennessee,35.0074,-89.8147,1337653,"Memphis, TN",,
41620,Salt Lake City,Salt Lake City,"Salt Lake City-Murray, UT",Tooele,49045,UT,Utah,40.4706,-113.0105,1300762,Salt Lake City,,
13820,"Birmingham, AL","Birmingham, AL","Birmingham, AL",Jefferson,1073,AL,Alabama,33.4638,-86.8139,1192583,"Birmingham, AL",,
23420,"Fresno, CA","Fresno, CA","Fresno, CA",Fresno,6019,CA,California,36.88,-119.6793,1189557,"Fresno, CA",,
24340,Grand Rapids,Grand Rapids,"Grand Rapids-Wyoming-Kentwood, MI",Kent,26081,MI,Michigan,42.9898,-85.4162,1178826,Grand Rapids,,
25540,Hartford,Hartford,"Hartford-West Hartford-East Hartford, CT",Capitol,9110,CT,Connecticut,41.7089,-72.5528,1169048,Hartford,,
15380,Buffalo,Buffalo,"Buffalo-Cheektowaga, NY",Erie,36029,NY,New York,42.9109,-78.7367,1160172,Buffalo,,
46060,"Tucson, AZ","Tucson, AZ","Tucson, AZ",Pima,4019,AZ,Arizona,32.0974,-111.7899,1080149,"Tucson, AZ",,
46140,"Tulsa, OK","Tulsa, OK","Tulsa, OK",Osage,40113,OK,Oklahoma,36.2504,-96.1662,1060423,"Tulsa, OK",,
40380,"Rochester, NY","Rochester, NY","Rochester, NY",Monroe,36055,NY,New York,43.0076,-77.5585,1057218,"Rochester, NY",,
36540,"Omaha, NE","Omaha, NE","Omaha, NE-IA",Pottawattamie,19155,NE,Nebraska,41.2901,-95.9991,1001186,"Omaha, NE",,
46520,"Urban Honolulu, HI","Urban Honolulu, HI","Urban Honolulu, HI",Honolulu,15003,HI,Hawaii,21.4899,-158.0739,998747,"Urban Honolulu, HI",,
24860,Greenville,Greenville,"Greenville-Anderson-Greer, SC",Greenville,45045,SC,South Carolina,34.6851,-82.4139,996680,Greenville,,
14860,Bridgeport,Bridgeport,"Bridgeport-Stamford-Danbury, CT",Western Connecticut,9190,CT,Connecticut,41.3061,-73.4028,972679,Bridgeport,,
